,Date,Name,Symbol,Share,Weight,WK Change
367,2021-10-23,Bilibili Inc.,BILI,"470,312",0.06,81.80
368,2021-10-23,Credit Agricole..,ACA,"2,295,575",0.06,8.42
369,2021-10-23,Veolia Environn..,VIE,"957,526",0.06,75.07
370,2021-10-23,Wal-Mart de Mex..,WALMEX,"9,710,397",0.06,NA
371,2021-10-23,Woodside Petrol..,WPL,"1,795,726",0.06,NA
372,2021-10-23,Wheaton Preciou..,WPM,"842,770",0.06,-16.41
373,2021-10-23,XPeng Inc.,XPEV,"885,537",0.06,111.26
374,2021-10-23,Kia Corp.,270,"479,626",0.06,NA
375,2021-10-23,Cathay Financia..,2882,"15,471,661",0.06,NA
376,2021-10-23,United Microele..,UMC,"2,820,176",0.06,90.88
377,2021-10-23,Sartorius AG,SRT3,"46,403",0.06,NA
378,2021-10-23,Stellantis NV,STLA,"1,726,792",0.06,53.89
379,2021-10-23,Straumann Holdi..,STMN,"18,846",0.06,NA
380,2021-10-23,Symrise AG,SY1,"236,216",0.06,NA
381,2021-10-23,Trip.com Group ..,TCOM,"982,414",0.06,1.33
382,2021-10-23,Shenzhou Intern..,2313,"1,413,249",0.06,NA
383,2021-10-23,Sunny Optical T..,2382,"1,221,418",0.06,NA
384,2021-10-23,SGS SA,SGSN,"11,026",0.06,NA
385,2021-10-23,Svenska Handels..,SHB,"2,749,196",0.06,NA
386,2021-10-23,Siemens Healthi..,SHL,"519,798",0.06,NA
